coupon,description,discount,discount_type,currency,minimum_order_amount,maximum_discount_amount,usage_limit,usage_limit_per_customer,is_active,start_date,end_date,created_at,updated_at
SIMd3b33bf231a647998af1c06f00000,Campanha promocional sintética,5.00,percentage,BRL,100.00,50.00,1000,1,true,2026-09-07,2026-10-07,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
SIMb393c64e8e954bf989eaa20e00000,Campanha promocional sintética,5.00,percentage,BRL,100.00,50.00,1000,1,true,2026-09-07,2026-10-07,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
SIMb393c64e8e954bf989eaa20e00001,Campanha promocional sintética,10.00,percentage,BRL,100.00,50.00,1000,1,true,2026-09-07,2026-10-07,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
SIMb393c64e8e954bf989eaa20e00002,Campanha promocional sintética,10.00,percentage,BRL,100.00,50.00,1000,1,true,2026-09-07,2026-10-07,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
SIMb393c64e8e954bf989eaa20e00003,Campanha promocional sintética,15.00,percentage,BRL,100.00,50.00,1000,1,true,2026-09-07,2026-10-07,2026-09-07T14:46:54.029480Z,2026-09-07T14:46:54.029480Z
SIMa58b5abff86742b0aca5e4fc00000,Campanha promocional sintética,20.00,fixed,BRL,100.00,50.00,5000,2,true,2026-09-07,2026-10-07,2026-09-07T17:36:19.514137Z,2026-09-07T17:36:19.514137Z
SIMa58b5abff86742b0aca5e4fc00001,Campanha promocional sintética,15.00,percentage,BRL,200.00,50.00,1000,1,true,2026-09-07,2026-10-07,2026-09-07T17:36:19.514137Z,2026-09-07T17:36:19.514137Z
SIMa58b5abff86742b0aca5e4fc00002,Campanha promocional sintética,10.00,fixed,BRL,100.00,50.00,1000,2,true,2026-09-07,2026-09-14,2026-09-07T17:36:19.514137Z,2026-09-07T17:36:19.514137Z
SIMa58b5abff86742b0aca5e4fc00003,Campanha promocional sintética,10.00,fixed,BRL,200.00,50.00,5000,2,true,2026-09-07,2026-10-07,2026-09-07T17:36:19.514137Z,2026-09-07T17:36:19.514137Z
SIMfbbb0ba034534bf49c79bd7e00000,Campanha promocional sintética,30.00,fixed,BRL,200.00,50.00,100,1,true,2026-09-07,2026-10-07,2026-09-07T17:39:53.135715Z,2026-09-07T17:39:53.135715Z
SIMfbbb0ba034534bf49c79bd7e00001,Campanha promocional sintética,15.00,percentage,BRL,150.00,50.00,1000,1,true,2026-09-07,2026-11-06,2026-09-07T17:39:53.135715Z,2026-09-07T17:39:53.135715Z
SIMfbbb0ba034534bf49c79bd7e00002,Campanha promocional sintética,30.00,fixed,BRL,100.00,50.00,1000,2,true,2026-09-07,2026-10-07,2026-09-07T17:39:53.135715Z,2026-09-07T17:39:53.135715Z
SIMfbbb0ba034534bf49c79bd7e00003,Campanha promocional sintética,5.00,percentage,BRL,150.00,50.00,500,2,true,2026-09-07,2026-09-14,2026-09-07T17:39:53.135715Z,2026-09-07T17:39:53.135715Z
SIM56a4a01341244ac4941ea78c00000,Campanha promocional sintética,10.00,fixed,BRL,150.00,50.00,500,1,true,2026-09-07,2026-09-14,2026-09-07T17:47:08.079025Z,2026-09-07T17:47:08.079025Z
SIM56a4a01341244ac4941ea78c00001,Campanha promocional sintética,10.00,fixed,BRL,200.00,50.00,5000,1,true,2026-09-07,2026-11-06,2026-09-07T17:47:08.079025Z,2026-09-07T17:47:08.079025Z
SIM56a4a01341244ac4941ea78c00002,Campanha promocional sintética,30.00,fixed,BRL,100.00,50.00,5000,1,true,2026-09-07,2026-09-21,2026-09-07T17:47:08.079025Z,2026-09-07T17:47:08.079025Z
SIM56a4a01341244ac4941ea78c00003,Campanha promocional sintética,20.00,fixed,BRL,100.00,50.00,5000,2,true,2026-09-07,2026-09-21,2026-09-07T17:47:08.079025Z,2026-09-07T17:47:08.079025Z
SIM509c503d1c964dbaa476b05d00000,Campanha promocional sintética,30.00,fixed,BRL,150.00,50.00,500,2,true,2026-09-07,2026-09-14,2026-09-07T17:59:55.786858Z,2026-09-07T17:59:55.786858Z
SIM509c503d1c964dbaa476b05d00001,Campanha promocional sintética,10.00,percentage,BRL,100.00,50.00,100,2,true,2026-09-07,2026-09-14,2026-09-07T17:59:55.786858Z,2026-09-07T17:59:55.786858Z
SIM509c503d1c964dbaa476b05d00002,Campanha promocional sintética,20.00,fixed,BRL,100.00,50.00,5000,2,true,2026-09-07,2026-09-14,2026-09-07T17:59:55.786858Z,2026-09-07T17:59:55.786858Z
SIM509c503d1c964dbaa476b05d00003,Campanha promocional sintética,30.00,fixed,BRL,100.00,50.00,500,2,true,2026-09-07,2026-11-06,2026-09-07T17:59:55.786858Z,2026-09-07T17:59:55.786858Z
SIMbae0989d91b3482880a72d5600000,Campanha promocional sintética,5.00,percentage,BRL,100.00,50.00,1000,1,true,2026-09-07,2026-09-14,2026-09-07T18:01:16.040175Z,2026-09-07T18:01:16.040175Z
SIMbae0989d91b3482880a72d5600001,Campanha promocional sintética,20.00,fixed,BRL,200.00,50.00,1000,1,true,2026-09-07,2026-09-21,2026-09-07T18:01:16.040175Z,2026-09-07T18:01:16.040175Z
SIMbae0989d91b3482880a72d5600002,Campanha promocional sintética,20.00,fixed,BRL,150.00,50.00,500,1,true,2026-09-07,2026-09-14,2026-09-07T18:01:16.040175Z,2026-09-07T18:01:16.040175Z
SIMbae0989d91b3482880a72d5600003,Campanha promocional sintética,10.00,fixed,BRL,150.00,50.00,500,1,true,2026-09-07,2026-09-14,2026-09-07T18:01:16.040175Z,2026-09-07T18:01:16.040175Z
SIM36994102d9ac478c83d02a1200000,Campanha promocional sintética,10.00,percentage,BRL,150.00,50.00,5000,1,true,2026-09-13,2026-09-20,2026-09-13T19:22:10.193598Z,2026-09-13T19:22:10.193598Z
SIM588e75aeeb2f4495b3318f4f00000,Campanha promocional sintética,10.00,percentage,BRL,150.00,50.00,5000,1,true,2026-09-13,2026-09-20,2026-09-13T19:23:16.203437Z,2026-09-13T19:23:16.203437Z
SIMde58242970c44081a69f959b00000,Campanha promocional sintética,10.00,percentage,BRL,150.00,50.00,5000,1,true,2026-09-13,2026-09-20,2026-09-13T19:25:15.894662Z,2026-09-13T19:25:15.894662Z
