tracking_id,order_id,shipment_id,tracking_code,carrier,service_level,status,event_description,city,state,country_code,estimated_delivery_at,occurred_at,created_at,updated_at
1,1,1,SIM000000000001,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-10T23:26:12.549744Z,2026-09-05T23:26:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
2,2,2,SIM000000000002,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-10T08:45:12.549744Z,2026-09-05T08:45:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
3,3,3,SIM000000000003,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-10T11:48:12.549744Z,2026-09-05T11:48:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
4,4,4,SIM000000000004,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-10T04:15:12.549744Z,2026-09-05T04:15:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
5,5,5,SIM000000000005,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-08T20:35:12.549744Z,2026-09-03T20:35:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
6,6,6,SIM000000000006,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-09T06:30:12.549744Z,2026-09-04T06:30:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
7,7,7,SIM000000000007,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-08T17:18:12.549744Z,2026-09-03T17:18:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
8,8,8,SIM000000000008,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-09T07:20:12.549744Z,2026-09-04T07:20:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
9,9,9,SIM000000000009,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T08:39:12.549744Z,2026-09-05T08:39:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
10,10,10,SIM000000000010,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-09T02:50:12.549744Z,2026-09-04T02:50:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
11,11,11,SIM000000000011,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-08T22:03:12.549744Z,2026-09-03T22:03:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
12,12,12,SIM000000000012,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-08T10:05:12.549744Z,2026-09-03T10:05:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
13,13,13,SIM000000000013,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-11T09:10:12.549744Z,2026-09-06T09:10:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
14,14,14,SIM000000000014,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-09T12:20:12.549744Z,2026-09-04T12:20:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
15,15,15,SIM000000000015,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-11T15:30:12.549744Z,2026-09-06T15:30:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
16,16,16,SIM000000000016,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Belo Horizonte,MG,BR,2026-09-09T18:10:12.549744Z,2026-09-04T18:10:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
17,17,17,SIM000000000017,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-09T19:26:12.549744Z,2026-09-04T19:26:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
18,18,18,SIM000000000018,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-11T21:36:12.549744Z,2026-09-06T21:36:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
19,19,19,SIM000000000019,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-09T20:14:12.549744Z,2026-09-04T20:14:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
20,20,20,SIM000000000020,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Recife,PE,BR,2026-09-10T09:44:12.549744Z,2026-09-05T09:44:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
21,21,21,SIM000000000021,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,Curitiba,PR,BR,2026-09-08T21:04:12.549744Z,2026-09-03T21:04:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
22,23,23,SIM000000000023,Transportadora Simulada,standard,SHIPPED,Remessa coletada pela transportadora,São Paulo,SP,BR,2026-09-11T12:59:12.549744Z,2026-09-06T12:59:12.549744Z,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
