payment_id,order_id,transaction_reference,payment_method,payment_status,amount,currency,installments,provider,authorized_at,paid_at,refunded_amount,failure_code,failure_reason,created_at,updated_at
1,1,SIM-d3b33bf231a647998af1c06fd2de0706-0,CREDIT_CARD,APPROVED,2113.80,BRL,3,synthetic_gateway,2026-09-05T11:26:12.549744Z,2026-09-05T11:27:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
2,2,SIM-d3b33bf231a647998af1c06fd2de0706-1,PIX,APPROVED,876.30,BRL,1,synthetic_gateway,2026-09-04T20:45:12.549744Z,2026-09-04T20:46:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
3,3,SIM-d3b33bf231a647998af1c06fd2de0706-2,PIX,APPROVED,279.03,BRL,1,synthetic_gateway,2026-09-04T23:48:12.549744Z,2026-09-04T23:49:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
4,4,SIM-d3b33bf231a647998af1c06fd2de0706-3,PIX,APPROVED,1345.32,BRL,1,synthetic_gateway,2026-09-04T16:15:12.549744Z,2026-09-04T16:16:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
5,5,SIM-d3b33bf231a647998af1c06fd2de0706-4,PIX,APPROVED,1420.92,BRL,1,synthetic_gateway,2026-09-03T08:35:12.549744Z,2026-09-03T08:36:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
6,6,SIM-d3b33bf231a647998af1c06fd2de0706-5,CREDIT_CARD,APPROVED,2214.85,BRL,1,synthetic_gateway,2026-09-03T18:30:12.549744Z,2026-09-03T18:31:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
7,7,SIM-d3b33bf231a647998af1c06fd2de0706-6,PIX,APPROVED,1272.64,BRL,1,synthetic_gateway,2026-09-03T05:18:12.549744Z,2026-09-03T05:19:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
8,8,SIM-d3b33bf231a647998af1c06fd2de0706-7,CREDIT_CARD,APPROVED,427.59,BRL,6,synthetic_gateway,2026-09-03T19:20:12.549744Z,2026-09-03T19:21:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
9,9,SIM-d3b33bf231a647998af1c06fd2de0706-8,PIX,APPROVED,2327.16,BRL,1,synthetic_gateway,2026-09-04T20:39:12.549744Z,2026-09-04T20:40:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
10,10,SIM-d3b33bf231a647998af1c06fd2de0706-9,CREDIT_CARD,APPROVED,1906.11,BRL,3,synthetic_gateway,2026-09-03T14:50:12.549744Z,2026-09-03T14:51:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
11,11,SIM-d3b33bf231a647998af1c06fd2de0706-10,CREDIT_CARD,APPROVED,2374.52,BRL,2,synthetic_gateway,2026-09-03T10:03:12.549744Z,2026-09-03T10:04:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
12,12,SIM-d3b33bf231a647998af1c06fd2de0706-11,PIX,APPROVED,1441.19,BRL,1,synthetic_gateway,2026-09-02T22:05:12.549744Z,2026-09-02T22:06:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
13,13,SIM-d3b33bf231a647998af1c06fd2de0706-12,PIX,APPROVED,703.99,BRL,1,synthetic_gateway,2026-09-05T21:10:12.549744Z,2026-09-05T21:11:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
14,14,SIM-d3b33bf231a647998af1c06fd2de0706-13,CREDIT_CARD,APPROVED,960.90,BRL,2,synthetic_gateway,2026-09-04T00:20:12.549744Z,2026-09-04T00:21:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
15,15,SIM-d3b33bf231a647998af1c06fd2de0706-14,CREDIT_CARD,APPROVED,2298.35,BRL,1,synthetic_gateway,2026-09-06T03:30:12.549744Z,2026-09-06T03:31:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
16,16,SIM-d3b33bf231a647998af1c06fd2de0706-15,CREDIT_CARD,APPROVED,856.18,BRL,3,synthetic_gateway,2026-09-04T06:10:12.549744Z,2026-09-04T06:11:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
17,17,SIM-d3b33bf231a647998af1c06fd2de0706-16,BOLETO,APPROVED,1790.69,BRL,1,synthetic_gateway,2026-09-04T07:26:12.549744Z,2026-09-04T07:27:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
18,18,SIM-d3b33bf231a647998af1c06fd2de0706-17,CREDIT_CARD,APPROVED,159.30,BRL,3,synthetic_gateway,2026-09-06T09:36:12.549744Z,2026-09-06T09:37:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
19,19,SIM-d3b33bf231a647998af1c06fd2de0706-18,CREDIT_CARD,APPROVED,2432.39,BRL,2,synthetic_gateway,2026-09-04T08:14:12.549744Z,2026-09-04T08:15:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
20,20,SIM-d3b33bf231a647998af1c06fd2de0706-19,CREDIT_CARD,APPROVED,114.74,BRL,3,synthetic_gateway,2026-09-04T21:44:12.549744Z,2026-09-04T21:45:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
21,21,SIM-d3b33bf231a647998af1c06fd2de0706-20,PIX,APPROVED,535.26,BRL,1,synthetic_gateway,2026-09-03T09:04:12.549744Z,2026-09-03T09:05:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
22,22,SIM-d3b33bf231a647998af1c06fd2de0706-21,CREDIT_CARD,DECLINED,1726.56,BRL,3,synthetic_gateway,,,0.00,PAYMENT_DECLINED,Pagamento não autorizado na simulação,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
23,23,SIM-d3b33bf231a647998af1c06fd2de0706-22,PIX,APPROVED,969.37,BRL,1,synthetic_gateway,2026-09-06T00:59:12.549744Z,2026-09-06T01:00:12.549744Z,0.00,,,2026-09-07T14:46:12.549744Z,2026-09-07T14:46:12.549744Z
